ts_code,concept,business,q_np_change
300227.SZ,"电子元件,国产芯片,富士康,医疗美容,军工,创业板综,深圳特区,PCB,5G概念,3D打印,无人机,航天概念",激光应用服务、激光及智能装备两大类。,159.90%
002524.SZ,"创投,一带一路,医疗美容,医疗服务,壳资源,天然气,装配建筑","医疗业务,能源与钢结构业务",40.50%
600979.SH,"成渝特区,充电桩,天然气,水电",水力发电、供电、天然气供应、生活饮用水、水电气仪表校验安装和调试。,22.40%
002187.SZ,"创投,退税商店,电商概念,新零售,粤港自贸,网红直播,百货",百货零售、电器批发代理及购物中心业务。,249.00%
002103.SZ,"区块链,字节概念,互联金融,电商概念,长江三角,网红直播,移动支付,营销服务",以纸制品文具为主的文化用品的生产和销售。主要产品有相册、本册、彩印包装、文件夹等。,113.00%
600259.SH,"稀土,小金属,新材料,稀缺资源,稀土永磁","钨矿采选和稀土矿开采,冶炼分离、深加工以及有色金属贸易业务。",607.50%
688186.SH,"铁路基建,半导体,特钢,核能核电,军工,大飞机,风能,新材料",特殊钢材料的研发、生产和销售,111.60%
601616.SH,"壳资源,智能电网,其他输变电设备","公司是以高低压成套设备及元器件产品的生产和销售为主营业务的公司,集研发、生产、销售、服务于一体,为各行各业用户提供整体配电解决方案,是国内知名的电气设备供应商。目前公司产品分为成套设备和元器件两大类型,共45个型号系列。公司产品主要集中于40.5kV及以下的电压等级,可实现电气开关控制及智能化终端控制等功能。",66.00%
002967.SZ,"中芯概念,其他专业服务,华为概念,节能环保,食品安全",计量服务、检测服务、检测装备研发等技术服务,34.70%
600831.SH,"智慧城市,互联金融,知识产权,大数据,数据中心,超清视频,华为概念,云计算,广电,有线电视","在陕西省内从事广播电视网络的规划建设和运营管理,对全省广电网络实行统一规划、统一建设、统一运营、统一管理,实现省、市、县、乡、村五级贯通,开展广播电视传输、数字电视增值、互联网接入等业务",146.20%
002152.SZ,"区块链,铁路基建,数字货币,智慧城市,创投,互联金融,生物识别,大数据,数据中心,边缘计算,华为概念,专用计算机设备,人工智能,国家安防",覆盖金融科技、公共安全、交通出行以及文娱旅游、零售便民等领域,52.80%
002101.SZ,"创投,特斯拉,新能源车,华为概念,5G概念,汽车零部件",主要从事汽车类、通讯设备类、机电类等精密铝合金压铸件产品的开发、设计、生产和销售。,216.10%
603386.SH,"电子元件,医疗器械,军工,PCB,华为概念,小米概念","印制电路板的研发、生产和销售,及印制电路板的表面贴装(SMT)。",514.30%
000776.SZ,"互联金融,券商概念,证券",投资银行业务、财富管理业务、交易及机构业务和投资管理业务。,18.90%
300711.SZ,"军民融合,军工,通信终端设备,创业板综,人工智能",从事数字与多媒体指挥调度系统及相关产品的研发、生产、销售与服务。,20.50%
300638.SZ,"通信传输设备,区块链,高送转,物联网,边缘计算,创业板综,阿里概念,深圳特区,智能电网,移动支付,eSIM,5G概念,车联网",物联网与移动互联网无线通信技术和应用的推广及其解决方案,49.40%
000529.SZ,"体育产业,冷链物流,肉制品,猪肉概念,在线教育,粤港自贸",肉类食品供应和教育出版物发行。,6.40%
600256.SH,"煤化工,一带一路,石油加工,天然气",液化天然气、现代物流、住宅消费服务、石材和化学建材等,188.80%
600297.SH,"充电桩,新能源车,汽车销售",乘用车经销、售后服务业务以及乘用车衍生业务。,247.40%
600603.SH,"一带一路,冷链物流,园区开发",物流园区投资、经营和配套服务以及冷链物流项目建设,9.20%
000952.SZ,"化学原料药,维生素","生产经营医药原料药、医药制剂、食品添加剂、饲料添加剂,出口本企业自产的各类药,所在行业为医药制造业。",163.00%
000096.SZ,"深圳特区,粤港自贸,石油天然气贸易",石油制品液化石油气经销及电力投资。,294.20%
002410.SZ,"电商概念,国产软件,雄安新区,行业应用软件,数字孪生","公司为建筑行业工程项目建设信息化的软件企业,主要业务为工程造价系列软件、项目管理系列软件的开发、销售和相关软件技术服务。",57.50%
300900.SZ,"军民融合,军工,创业板综,大飞机,次新股,航空装备,无人机,航天概念",航空航天复合材料零部件及金属零部件的制造、航空工装设计制造、飞机设计制造,-85.60%
601238.SH,"乘用车,新能源车,燃料电池,石墨烯,华为汽车,车联网","汽车及配套产品的研发、制造、销售和相关服务,主要产品及服务包括乘用车、商用车、发动机及其他汽车零部件和汽车相关服务。",2897.00%
600894.SH,"铁路基建,充电桩,智慧城市,创投,LED,物联网,大数据,一带一路,冷链物流,新能源车,工业4.0,粤港自贸,智能机器,人工智能,楼宇设备","包括设计、生产、安装、维修及保养电梯、自动扶梯、自动人行道和智能机械式停车设备、月台屏蔽门设备,设计和生产电梯电气零部件及相关电气产品、电梯导轨以及相关零配件,并提供包括运输服务、配送服务、仓储服务、包装服务、流通加工等第三方物流服务的技术及能力,可提供一站式的设计、生产、安装、维修、保养和物流服务,以及电阻焊机、自动弧焊专机、机器人系统、激光焊接系统以及自动化生产线集成等",25.10%
601333.SH,"铁路基建,铁路运输,深圳特区,粤港自贸","经营广州至深圳间各铁路车站的客、货运输业务,并与香港九广铁路公司合作经营广九直通车(广州—香港九龙)旅客运输业务。",79.80%
300436.SZ,"病毒防治,股权激励,基因测序,辅助生殖,生物医药,创业板综",从事核苷类抗乙肝病毒药物研发、生产与销售。,-72.70%
002482.SZ,"电商概念,深圳特区,光伏建筑一体化,装修装饰,装配建筑",建筑装饰的施工与设计。,116.40%
600936.SH,"大数据,阿里概念,超清视频,云计算,广电,有线电视",广电网络的建设运营、广播电视节目传输、数据专网业务以及数字电视增值业务的开发与经营。,-769.00%
300537.SZ,"富士康,创业板综,PCB,华为概念,光刻胶,其他化学制品,5G概念,OLED,新材料",专用油墨、专用涂料等电子化学品的研发、生产和销售,41.20%
603599.SH,"草甘膦,农药",以光气作为原料的农药原药、精细化工中间体及农药制剂的研发、生产和销售,152.70%
000537.SZ,"房地产开发,滨海新区,成渝特区",商品房销售,-21.50%
002133.SZ,"养老概念,房地产开发,长江三角","房地产开发与销售,同时公司经营与房地产相关的物业管理、物业出租、材料销售等业务",33.00%
600771.SH,"健康中国,中药生产,纾困概念,白酒,中药",高科技生物制药。,-96.30%
600098.SH,"可燃冰,充电桩,火电,风能,天然气,节能环保,太阳能,新能源","公司从事综合能源、节能、环保等业务投资开发和经营,以及能源金融业务,为广大客户提供电力、煤炭、天然气、蒸汽、成品油等能源产品,同时提供天然气、煤炭和油品装卸、运输和储存服务。金融业务主要为能源产业发展提供金融支持,实现产融结合。公司电力、蒸汽主要通过所属火力发电机组、风力发电设备和光伏发电设备生产,电力主要通过南方电网销售给终端用户,蒸汽通过自有管网销售给终端用户;煤炭和成品油通过外部采购,经由公司运输、批发、销售等渠道服务终端用户。天然气通过外部采购,公司自有管网输送、销售给终端用户。金融业务为集团提供资金归集管理、结算、信贷和供应链金融服务。",40.70%
601228.SH,"粤港自贸,一带一路,冷链物流,港口","集装箱、煤炭、粮食、钢材、汽车、金属矿石、油品等货物的装卸、仓储,并提供物流、贸易、金融、拖轮、理货等综合性服务",5.50%
603043.SH,"食品综合","食品制造业务及餐饮业务,并以食品制造业务为主。",257.40%
300019.SZ,"特高压,军工,有机硅,新能源车,创业板综,其他化学制品,雄安新区,锂电池,装配建筑",有机硅密封胶、防腐材料及工程、硅烷偶联剂、设备制造及工程服务等,173.10%
600996.SH,"物联网,大数据,智能家居,超清视频,华为概念,云计算,广电,有线电视",广播电视节目收视服务、数字电视增值业务的开发与经营、数据业务、有线电视相关工程及安装、节目传输等,-93.60%
600523.SH,"军工,通用航空,华为概念,汽车零部件","航空产品,汽车零部件",1055.00%
600992.SH,"金属制品,军工",钢丝、钢绳产品及相关设备、材料、技术的研究、生产、加工、销售及进出口业务;。,133.70%
600459.SH,"小金属,半导体,军工,新能源车,尾气治理,燃料电池,稀缺资源,黄金概念,其他稀有小金属,节能环保,新材料",主要从事贵金属高纯材料和贵金属功能材料的生产和销售。,24.80%
601997.SH,"股份制与城商行",本行的主要业务包括公司金融业务、个人金融业务、资金业务及其他。,4.20%
002424.SZ,"健康中国,独家药品,中药生产,口罩,工业大麻,互联医疗,中药",以苗药为主的中成药的生产、销售。,-33.10%
000589.SZ,"轮胎,胎压监测",主要从事轮胎研发、生产及销售,171.40%
600519.SH,"白酒,超级品牌",茅台酒及系列酒的生产与销售,6.20%
600903.SH,"天然气,燃气",从事城市燃气运营业务,-28.90%
603439.SH,"独家药品,中药生产,二胎概念,中药","药品的研发,生产及销售",-20.30%
600310.SH,"创投,水电",电力生产销售和油品业务,151.60%
002820.SZ,"电商概念,新零售,食品综合",传统特色及其他休闲食品的研发、生产和销售,101.00%
600236.SH,"风能,水电",从事电力业务,27.90%
000978.SZ,"在线旅游,景区",游船客运、景区旅游业务、酒店、公路旅行客运、出租车业务。,24.60%
002275.SZ,"健康中国,中药生产,口罩,流感,单抗概念,中药","咽喉口腔用药系列、抗泌尿系感染用药系列及心脑血管用药系列中成药产品的研究、生产与销售,以及其他天然药物和生物制剂等的研究开发。",34.80%
300902.SZ,"其他专用机械,次新股,创业板综",自动灭火装置的研发、生产、销售,-86.10%
000688.SZ,"铅锌,小金属","有色金属矿产品贸易,贵稀金属国内贸易,货物及技术进出口业务;有色金属、黑色金属矿山开发,有色金属冶炼",136.00%
002377.SZ,"房地产服务,租售同权,数据中心,天然气",房地产中介服务业务和改性沥青的研发、生产与销售,-4740.50%
300285.SZ,"创业成份,蓝宝石,创业板综,化学新材料,节能环保,MLCC,3D打印,新材料,被动元件",从事各类高端功能陶瓷新材料的研发、生产和销售,51.30%
600795.SH,"火电,东北振兴,风能",电力、热力产品的生产和销售。,137.50%
600406.SH,"国产芯片,充电桩,特高压,半导体,电气自控设备,太阳能,一带一路,数据中心,智能电网,水利建设,换电概念,新能源,量子通信",电网自动化及工业控制、电力自动化信息通信、继电保护及柔性输电、发电及水利环保等业务的技术和产品研发、设计、制造、销售及与之相关的系统集成和工程总包业务。具体包括电网调度自动化、电网安全稳定分析与控制、变电站保护及自动化、配电网自动化、用电自动化及需求侧管理、电动汽车充换电设施及运营、电力市场运营技术支持系统、电网节能、综合能源服务、电动汽车充换电设备及系统、轨道交通自动化及保护、工业控制自动化、电力生产管理、运行监控、安全防护及相关信息通信软硬件集成服务、高压继电保护及自动装置、超/特高压交/直流输电设备、柔性交/直流输电设备等、电站及辅机、风电控制设备及系统、光伏发电设备及系统、水利水电自动化、环保与气象设备及系统等。产品主要应用于电力、新能源、公共事业及大型行业客户(城市轨道交通、铁路、石化、煤炭、冶金等)。,243.20%
600268.SH,"特高压,充电桩,铁路基建,电气自控设备,长江三角,智能电网,水利建设,风能,国家安防","公司主要从事输变电保护、控制及自动化系统,发电厂保护控制及自动化系统,调度配网自动化系统、轨道交通自动化系统、其它工业控制及自动化设备、高低压电器及电气传动设备的研究、开发、生产、销售和咨询服务;环境保护工程设计及设备制造、施工总承包;变电站、电站工程总承包;公司具有产品和技术的进出口权。",32.70%
688027.SH,"国产芯片,军工,次新股,通信配套服务,量子通信,国产软件","量子通信产品的研发、生产、销售及技术服务,为各类光纤量子保密通信网络以及星地一体广域量子保密通信地面站的建设系统地提供软硬件产品,为政务、金融、电力、国防等行业和领域提供组网及量子安全应用解决方案",-23.90%
002768.SZ,"充电桩,降解塑料,口罩,体育产业,新能源车,华为概念,塑料制品,地摊经济,小米概念,新材料",改性塑料粒子及深加工后的各种改性塑料制品的研发、生产和销售。,5.80%
600538.SH,"基因测序,医疗器械,医药商业,消毒剂",藻类、贝类、甲壳类等海洋生物系列产品的研究、开发、生产和销售。,349.80%
601086.SH,"百货,新零售","以百货为主,超市、电器为辅的连锁零售业务,目前为甘肃省内最大的连锁零售企业。",310.40%
000859.SZ,"蓝宝石,塑料制品",塑料薄膜、其他塑料制品、非金属新型材料及金属制品(不含有色金属)生产、销售。,477.70%
002045.SZ,"无线耳机,创投,电子烟,百度概念,电子设备制造,锂电池",音响电声类业务、锂电池类业务以及园区开发类业务。,401869.10%
002749.SZ,农药,从事植物生长调节剂、杀菌剂为主的农药制剂和水溶性肥料的研发、生产和销售业务,-28.20%
605188.SH,"电商概念,新零售,超市,次新股",主要从事连锁超市、百货商场的运营业务,-60.00%
000750.SZ,"券商概念,证券",证券经纪;证券投资咨询;与证券交易、证券投资活动有关的财务顾问;证券承销与保荐;证券自营;证券资产管理;证券投资基金代销;为期货公司提供中间介绍业务;融资融券。,-42.40%
000004.SZ,"网络安全,手游概念,其他软件服务,深圳特区,网络游戏,5G概念,车联网,RCS概念",移动互联网安全业务及移动互联网游戏运营相关服务。,18.10%
002046.SZ,"国产芯片,半导体,中芯概念,军工,基础件,风能,航天概念","涵盖轴承行业、磨料磨具行业及相关领域的研发制造、行业服务与技术咨询、贸易服务等,从业务类别,可分为轴承业务板块、磨料磨具业务板块、贸易及工程服务板块。",226.80%
600335.SH,"独角兽,特斯拉,新零售,新能源车,阿里概念,汽车销售,滨海新区,车联网,锂电池",汽车贸易、服务行业。,239.00%
600444.SH,"其他通用机械,锂电池","主要从事流体机械相关业务和塑料管材业务,主要包括流体机械相关的产品研发及制造、技术服务与咨询、工程设计及成套等业务和塑料管材的研发、生产、销售业务。",97.40%
000159.SZ,"壳资源,一带一路,石油天然气贸易","主要从事成品油及化产品的采购、销售、仓储与运输业务,房地产业务。",126.60%
000516.SZ,"基因测序,辅助生殖,医疗美容,医疗服务,互联医疗,免疫治疗,阿里概念,无人机",医疗服务和百货零售业,33.70%
603060.SH,"其他专业服务,碳交易","检验、认证、安全生产技术服务、检验仪器设备研发销售、延伸服务五大综合业务平台,可为客户提供关于质量、安全、环保、绿色、节能等综合性解决方案。",53.00%
600109.SH,"互联金融,成渝特区,券商概念,参股期货,蚂蚁概念,证券",证券经纪业务。,3.60%
300672.SZ,"国产芯片,半导体,物联网,北斗导航,集成电路,创业板综,超清视频",大规模集成电路的设计、研发及销售,97.80%
300716.SZ,"降解塑料,纾困概念,创业板综,塑料制品,节能环保,新材料",低碳、环保高分子材料(主要包括EVA环保改性材料、TPR环保改性材料和改性工程塑料)及高分子材料制品的研发、生产、销售和技术服务,134.20%
603613.SH,"物联网,大数据,电商概念,人工智能,电子商务B2B,工业互联","公司以B2B电子商务业务为主。公司定位于B2B综合服务平台,以工业电子商务为基础,以互联网数据为支撑,为相关行业客户提供工业品和原材料的网上商品交易、商业信息服务和互联网技术服务。",116.20%
300094.SZ,"股权激励,电商概念,新零售,创业板综,淡水渔业,社区团购,海洋经济,水产养殖,网红直播","对虾和罗非鱼种苗、水产饲料、初加工产品及深加工食品等。其中对虾及罗非鱼种苗、水产饲料主要销售给本公司备案养殖户,初加工水产品及深加工食品主要通过国内外分销商销售给终端消费者。",-165.60%
601456.SH,"互联金融,券商概念,次新股,证券",主要从事证券相关业务的公司。该公司经营六个业务分部。证券经纪业务分部从事的业务包括代理买卖证券、代理销售金融产品、期货中间介绍和投资谘询服务。其代理销售金融产品业务涉及的产品主要为第三方基金产品和第三方信托产品。投资银行业务分部从事股票承销及保荐业务以及债券发行承销业务。该分部的业务通过其子公司开展。资产管理与投资业务分部从事管理集合资产和定向资产等。证券投资业务分部投资於股票、基金、债券和期权等。信用交易业务分部从事融资融券等业务。该公司还经营其他业务分部。,-33.10%
300786.SZ,"其他专用机械,创业板综,疫苗冷链,节能环保",专业从事臭氧产生机理研究、臭氧设备设计与制造、臭氧应用工程方案设计与臭氧系统设备安装、调试、运行及维护等业务,63.90%
600358.SH,"虚拟现实,体育产业,营销服务,长江三角,网红直播,彩票概念,北京冬奥,电子竞技",文体项目的投资及运营以及体育用品贸易;广告营销及活动策划与组织等业务,-722.50%
002093.SZ,"物联网,养老概念,在线教育,华为概念,云计算,6G概念,通信配套服务,5G概念,车联网","物联网技术服务,物联网咨询与设计服务,物联网科学园运营与开发服务,教育服务",424.20%
603915.SH,"基础件,股权激励",减速机的研发、生产和销售,157.90%
300077.SZ,"区块链,国产芯片,数字货币,生物识别,半导体,网络安全,物联网,集成电路,创业板综,新能源车,深圳特区,移动支付,锂电池,华为概念,人工智能,5G概念,量子通信,工业互联",安全芯片和通讯芯片产品及解决方案的开发和销售。,-55.50%
300600.SZ,"军民融合,军工,船舶制造,创业板综",船舶及海洋工程电气、自动化系统及其系统集成的研发、生产、销售及综合技术服务,-40.30%
600562.SH,"军民融合,长江三角,电子设备制造,5G概念",微波与信息技术相关产品的生产和销售,2161.10%
002670.SZ,"区块链,独角兽,互联金融,券商概念,证券",证券业务、投资业务、金融科技业务。,125.40%
688558.SH,"机床设备,工业4.0,次新股,智能机器",公司主要从事数控机床、智能自动化生产线及装备部件的研发、生产和销售,207.20%
603977.SH,"铁路基建,小金属,军工,稀缺资源,3D打印,民爆用品",民用爆破器材的研发、生产、销售及爆破服务,386.00%
601211.SH,"股权激励,互联金融,券商概念,证券","证券经纪;证券自营;证券承销与保荐;证券
投资咨询;与证券交易、证券投资活动有关的财务顾问;融资融券业务;证券投
资基金代销;代销金融产品业务;为期货公司提供中间介绍业务;股票期权做市
业务;中国证监会批准的其他业务。",98.80%
002205.SZ,"其他基础建设,一带一路,水利建设,雄安新区,装配建筑","主营PCCP,压力钢管与各种输水管道的制造、运输及其异型管件、配件开发制造、水泥制品及其它化工建材产品的研制开发及生产、销售。",-38.60%
600886.SH,"火电,GDR","投资、建设、经营管理电厂,通过电厂所在地电网运营企业向用户提供稳定及可靠的电力供应。",23.40%
600962.SH,"软饮料",浓缩果蔬汁的生产和销售。,-3220.70%
600061.SH,"高送转,长江三角,券商概念,参股期货,雄安新区,证券",经纪业务、受托资产管理业务、自营业务、投资银行业务、融资融券业务。,69.00%
600131.SH,"成渝特区,智能电网,UWB概念,虚拟电厂,通信运营,国产软件",新型信息通信业务,-5.90%
600517.SH,"特高压,其他输变电设备,券商概念,智能电网,参股期货,风能,节能环保,碳交易",电气(母线槽、高低压柜、开关箱、变压器、箱式变电站、电缆、输配电工具及材料)领域内的科技咨询、技术开发、转让、服务、生产(外发加工)销售自身开发的产品。,24.90%
000503.SZ,"互联医疗,健康中国,电商概念,医疗服务",医药电子商务、数字娱乐、高科技化纤等业务。,-13.40%
600617.SH,"长江三角,天然气,燃气","天然气开发利用与咨询服务;天然气输气管网的规划建设、经营管理及对外专营,管道天然气、压缩天然气、液化天然气的储运、配送与销售;天然气加气站及燃气热电厂的建设与经营、山西省及周边省份天然气加气站、加油站、油气合建站的建设与经营;城镇管道燃气经营",115.50%
600636.SH,"氟化工,沪企改革,军工,长江三角,在线教育,超清视频,新材料,教育信息化服务",有机氟原料及其产品的研究、生产和销售。,157.60%
002736.SZ,"券商概念,深圳特区,证券","公司主要从事证券经纪、投资银行、证券自营、资产管理以及资本中介等业务,通过全资子公司从事直接投资业务、期货业务、境外业务等。",12.30%
002449.SZ,"国产芯片,半导体,LED,氮化镓,第三代半导体,影视概念,超清视频,MiniLED,MicroLED",LED 器件及其组件的研发、生产与销售,4.60%
002074.SZ,"充电桩,储能设备,新能源车,长江三角,智能电网,华为概念,风能,固态电池,新能源,锂电池","动力锂电池,输配电设备",106.10%
600511.SH,"医药商业,冷链物流,流感,中药",组织药品生产;化学原料药、西药制剂、生化药品、生物制品、中成药的销售。,50.60%
600420.SH,"辅助生殖,医疗美容,化学制剂,超级真菌,长江三角,地塞米松,化妆品概念",医药产品的开发、生产、经营;医药产品的代理销售。,68.00%
000028.SZ,"医药商业,冷链物流,互联医疗,深圳特区,单抗概念,疫苗冷链",医药分销和医药零售,33.00%
000728.SZ,"券商概念,参股期货,证券",证券类金融业务,15.70%
600187.SH,"独角兽,万达概念,创投,水务,商汤概念,东北振兴,节能环保",污水处理、自来水供应和环保工程技术服务,-313.30%
002615.SZ,"其他轻工,网红直播",不锈钢真空保温器皿的研发设计、生产与销售。,205.30%
000584.SZ,"医疗器械,工业机器人,特斯拉,军工,新能源车,成渝特区,智能机器,人工智能,工业互联",工业智能化柔性生产线和自动化控制系统的研发、设计、制造和销售及氨纶的生产和销售,19.20%
600202.SH,"一带一路,核能核电,智能电网,东北振兴,制冷空调设备",各种高、中、低压空冷器的设计、制造和销售。,-29.20%
002900.SZ,"医疗器械,病毒防治,医疗美容,化学制剂,消毒剂,化妆品概念","医药制造业,主要从事小容量注射剂、冻干粉针剂、固体制剂、非PVC软袋大输液、塑瓶大输液、玻瓶大输液、原料药、医疗器械及化妆品等产品的研发、生产和销售",-1957.40%
603958.SH,服饰辅料,"从事中高端皮鞋的品牌运营﹑产品设计、生产和销售,截至2015年12月末,公司拥有2,050个营销网点,并依托唯品会、天猫、京东、银泰等电子商务平台开展网络营销。",331.80%
600864.SH,"券商概念,东北振兴,证券",热电业务及证券业务,-180.90%
600664.SH,"流感,养老概念,超级真菌,化学制剂,东北振兴","公司专注于医药健康产业,主要从事医药研发与制造、批发与零售业务,是集医药研发、制造、销售于一体的国内大型高新技术医药企业",125.30%
300517.SZ,"可燃冰,路桥建设,高送转,创业板综","桥梁钢结构工程业务,业务范围主要包括桥梁钢结构的制作和安装,以及相应的技术研发、工艺设计及技术服务。",615.20%
300885.SZ,"高送转,创业板综,次新股,金属制品,新材料",粉末冶金制品的研发、生产和销售,123.40%
300584.SZ,"化学制剂,创业板综",化学药品的研发、生产和销售,-22.10%
300873.SZ,"物流,电商概念,新能源车,创业板综,次新股",为电子信息行业相关企业提供全方位、一体化的现代综合物流服务,37.60%
300720.SZ,"高送转,创业板综,2025规划,仪器仪表",主要从事自动衡器的研发、生产和销售,77.70%
300320.SZ,"其他橡胶制品,创业板综,新能源车,大飞机,光伏建筑一体化,太阳能,新能源",橡胶零配件的研发、生产和销售,87.90%
002311.SZ,"猪肉概念,饲料,水产养殖",水产预混料、水产配合饲料和畜禽配合饲料的研发、生产和销售。,126.50%
002184.SZ,"电气自控设备,创投,数据中心,边缘计算,长江三角,工业4.0,2025规划,智能电网,智能机器,太阳能,人工智能,风能,工业互联",工业自动化领域的系统集成业务和产品分销业务。,200.90%
000567.SZ,"其他非银行金融,互联金融",不良资产收购处置类业务、不良资产收购重组类业务、不良资产ABS业务以及事务管理类业务。,34.00%
688139.SH,"医疗器械,物联网,冷链物流,疫苗冷链","公司主营业务始于生物医疗低温存储设备的研发、生产和销售,是基于物联网转型的生物科技综合解决方案服务商。公司面向全球市场,主要为生物样本库、药品及试剂安全、血液安全、疫苗安全等场景提供低温存储解决方案;并率先进行物联网技术融合创新,致力于围绕以上场景痛点提供物联网生物科技综合解决方案。",99.40%
600690.SH,"物联网,电商概念,智能家居,阿里概念,工业4.0,白色家电,太阳能,节能环保,超级品牌,工业互联",电器、电子产品、机械产品、通讯设备及相关配件制造。,199.30%
002465.SZ,"通信传输设备,国产芯片,航天概念,智慧城市,物联网,天基互联,军民融合,虚拟现实,军工,北斗导航,航母概念,2025规划,华为概念,人工智能,5G概念,养老金",军事通信设备和导航设备的研发、生产和销售。,165.10%
600751.SH,"大数据,一带一路,综合互联网服务,苹果概念,华为概念,滨海新区,云计算,人工智能,雄安新区",IT产品分销及技术解决方案、移动设备及生命周期服务、电子商务供应链解决方案及云服务。,80.80%
002415.SZ,"物联网,虚拟现实,边缘计算,云计算,国家安防,长江三角,无人机,智慧城市,生物识别,无人驾驶,大数据,超清视频,人工智能,PC、服务器及硬件","安防视频监控产品研发、生产和销售,产品包括硬盘录像机(DVR)、视音频编解码卡等数据存储及处理设备,以及监控摄像机、监控球机、视频服务器(DVS)等视音频信息采集处理设备。",37.60%
300065.SZ,"通信传输设备,高送转,股权激励,大数据,数据中心,创业板综,海洋经济,云计算,人工智能","航海电子科技领域,主要从事航海电子科技产品和系统的研发、生产、销售和服务。",-90.50%
600398.SH,"字节概念,抖音小店,二胎概念,新零售,电商概念,服装,长江三角,阿里概念,网红直播","高档精纺呢绒、高档西服、衬衫,职业服的生产和销售,染整加工业务。",188.40%
600619.SH,"新能源车,长江三角,制冷空调设备,地热能",压缩机及相关制冷设备、电机的生产与销售、贸易及房产租赁业务。,25.50%
002206.SZ,"长江三角,涤纶,养老金","涤纶工业长丝、灯箱布、PVC膜、土工布的研究开发、生产、销售,以及网布的研究开发和生产。",101.90%
603639.SH,"蝗虫防治,一带一路,农药",主要从事农药制剂、农药中间体、农药原药和水溶性肥料的研发、生产和销售,61.60%
603718.SH,"病毒防治,体外诊断,基因测序,生物疫苗,动物用药",畜用、禽用动物疫苗的研发、生产和销售,128.90%
002537.SZ,"区块链,数字货币,互联金融,大数据,新能源车,移动支付,RCS概念,汽车零部件","移动信息服务、第三方支付服务、大数据服务、运营商计费结算服务及跨境电商服务业务,汽车及配件、家电配件、电机及配件和模具业务",129.10%
300277.SZ,"创业板综,深圳特区,智能电网,RCS概念,行业应用软件","从事电力企业信息化建设业务,并提供相关的技术及咨询服务。主要包括系统集成、服务、软件三类业务。",-40.40%
002203.SZ,"小金属,铜,基本金属,长江三角",铜管、铜板带、铜箔及其他铜制品的制造、加工。,84.60%
603138.SH,"创投,大数据,数据中心,其他软件服务,华为概念,云计算,雄安新区","专注于数据库领域,主要从事数据库产品研发、销售、服务、咨询。",15.80%
002255.SZ,"煤化工,充电桩,核能核电,长江三角,其他电源设备,节能环保,氮化镓",余热锅炉、大型及特种材质压力容器及核安全设备的制造销售;固废、废水等污染物处理及回收利用的环境综合治理服务;光伏电站运营及EPC业务三轮驱动。,120.60%
300329.SZ,"二胎概念,创业板综,在线教育,娱乐用品,网红直播","钢琴的研发、制造、销售与服务,同时开展智能钢琴的研究与开发,拓展艺术教育培训产业等",807.20%
300201.SZ,"核污染防治,LED,其他专用车辆,军民融合,军工,创业板综,苹果概念,智能电网,锂电池,智能机器,MiniLED,工业互联",为电力、市政、园林、石化、通信等行业领域客户提供包括高空作业方案设计、产品开发、生产制造、技术支持及维修保养在内的全面的高空作业车产品及服务解决方案。,538.90%
600585.SH,"铁路基建,一带一路,水泥,装配建筑",主要从事水泥及水泥制品的生产销售业务。,19.20%
000619.SZ,"其他建材,装配建筑",塑料型材、板材、门窗、五金制品、钢龙骨制造、销售;建筑材料、装饰材料批发、零售,30.20%
300084.SZ,"可燃冰,矿山冶金机械,核能核电,军工,页岩气,创业板综,天然气,油气设服","多相流量计的研发、生产、销售和售后技术服务,利用移动式多相流量计为油田客户提供油井生产计量、评价测试和勘探测试等服务(统称“移动测井服务”或“多相测井服务”),以及与勘探测试相配套的钻井服务。",51.50%
688559.SH,"特斯拉,其他专用机械,苹果概念,深圳特区,华为概念,次新股,锂电池,国产软件",主要从事消费电子、动力电池、钣金加工等行业激光及自动化设备的研发、设计、生产及销售,13.10%
002163.SZ,"深圳特区,免税概念,玻璃,太阳能,新能源,新材料",建筑幕墙工程设计、施工和生产、销售幕墙玻璃制品、家电玻璃等。,225.00%
000886.SZ,"军民融合,军工,房地产开发",房地产开发、广告业务、酒店业务及东线高速公路养护,-3.60%
000566.SZ,"健康中国,医疗器械,创投,口罩,生物疫苗,化学制剂,互联医疗,2025规划,单抗概念",中西成药、精细化工产品、化学原料药、保健品及与医药工业相配套的进出口贸易。,33.00%
601969.SH,"电商概念,天然气,铁矿石",铁矿石采选和销售。,128.60%
002596.SZ,"垃圾分类,海绵城市,互联金融,其他建材,赛马概念,雄安新区,节能环保",商品混凝土、新型墙体材料与水泥的生产与销售以及园林绿化业务。,101.20%
601118.SH,"土地流转,降解塑料,乡村振兴,电商概念,军工,免税概念,农业种植,种植业",天然橡胶的种植、加工、科研和销售等相关业务。,80.50%
600238.SH,"健康中国,其他酒类,白酒,养老概念,彩票概念","以酒类产品的生产与销售为主要业务,以特色食品饮料板块、房地产开发板块、贸易与供应链板块为辅的业务格局",119.10%
002583.SZ,"区块链,网络安全,智慧城市,铁路基建,互联金融,物联网,口罩,电商概念,一带一路,北斗导航,通信终端设备,深圳特区,国家安防,水利建设,粤港自贸,智能机器,5G概念,智能穿戴","主要从事对讲机终端、集群系统等专业无线通信设备的研发、生产、销售,并提供整体解决方案,是全球主要的专业无线通信设备提供商之一和我国专业无线通信行业的龙头企业。",-178.50%
